Asus Transformer T101HA-GR013T,3899000,murah
Asus E203NAH-FD011D,2999000,murah
ASUS X541NA,3685000,murah
Asus E202SA-FD113D,2999000,murah
ASUS X550VX,11599000,mahal
Asus X441UV-WX091D,5499000,murah
Asus Transformer T101HA-GR012T,3949000,murah
Asus X540YA-BX101T,3329000,murah
Asus X441NA-BX003,3249000,murah
Asus A456UR,7099000,mahal
Asus X441UA-WX098D,5349000,murah
Asus X454YA-BX801D,4199000,murah
Asus Pro P2430UA-WO0815D,5499000,murah
ASUS ROG GL553VD-FY280D,13500000,mahal
Asus GX800VH(KBL)-GY005T,95250000,mahal
Asus X441UV,6199000,mahal
Asus Zenbook Flip UX370UA-BO701T,24999000,mahal
Asus ROG GL-552-X (KBL) DM409T/BK,12129000,mahal
Asus X540LA-XX774D,5169000,murah
ASUS A456UR-WX037D,6950000,mahal
